Sentence,Emotion,Tokenized_Sentence
cho mình xin bài nhạc tên là gì với ạ,Other,"['mình', 'xin', 'bài', 'nhạc', 'tên', 'gì', 'ạ']"
cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh phẫn_nộ,Disgust,"['đáng', 'đời', 'con', 'quỷ', 'về', 'nhà', 'lôi', 'con', 'nhà', 'mày', 'đánh', 'phẫn_nộ']"
lo học đi . yêu đương cười_lớn gì hay lại thích học sinh học,Disgust,"['lo', 'học', 'yêu', 'đương cười_lớn', 'gì', 'hay', 'thích', 'học sinh', 'học']"
ước gì sau này về già vẫn có thể như cụ này cười,Enjoyment,"['ước', 'gì', 'sau này', 'về', 'già', 'vẫn', 'có thể', 'cụ', 'cười']"
mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .,Enjoyment,"['mỗi', 'lần', 'video', 'con', 'cứ', 'coi', 'coi', 'hoài', 'cưng', 'con']"
thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết,Anger,"['thằng', 'sao', 'mày', 'bắt', 'vợ', 'bồ tao', 'dọn', 'thế', 'nhà', 'mày', 'đâu', 'tao', 'thịt', 'mày', 'chết']"
một lí do trog muôn vàn lí do,Other,"['lí do', 'trog muôn', 'vàn lí do']"
thật hay đùa ác vậy . không thể tin được,Surprise,"['hay', 'đùa', 'ác', 'không thể', 'tin']"
"không phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . giận",Anger,"['không', 'phải', 'con', 'mình', 'xem', 'còn', 'thấy', 'đau', 'như vậy', 'huống gì', 'người', 'cuộc', 'phẫn nộ', 'cơ quan chức năng', 'làm việc', 'chậm trễ', 'giờ', 'vẫn', 'chưa', 'tìm', 'người', 'chịu', 'trách nhiệm', 'giận']"
per nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa,Sadness,"['per', 'nghe', 'khóc', '1', 'trận', 'thoải mái', 'đừng', 'cố', 'gồng', 'mình', 'lên']"
công nhận sáng tạo thật đấy,Enjoyment,"['công nhận', 'sáng tạo', 'đấy']"
đòn tấn công cực gắt và cục sút của anh cười_chảy_nước_mắt,Disgust,"['đòn', 'tấn công', 'cực', 'gắt', 'cục sút', 'anh', 'cười_chảy_nước_mắt']"
trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ dễ_thương,Other,"['trời', 'nắng nóng', 'thế này', 'mình', 'muốn', 'bán', 'nước', 'không', 'biết', 'thu nhập', 'cao', 'không', 'ạ', 'dễ_thương']"
minh biết nữa ne,Enjoyment,"['minh', 'biết', 'ne']"
mấy thằng củ cười_lớn việt nam nhảm nhí cười,Disgust,"['mấy', 'thằng', 'củ', 'cười_lớn', 'việt nam', 'nhảm', 'nhí', 'cười']"
"bếp dầu , nhiều nhà vẫn dùng",Other,"['bếp', 'dầu', 'nhiều', 'nhà', 'vẫn', 'dùng']"
nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề,Other,"['nếu', 'thấy', 'phụ nữ', 'phức tạp', 'để', 'hiểu', 'chinh phục', 'đây', 'cách', 'giải quyết', 'vấn đề']"
"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",Fear,"['thời buổi', 'bây chừ', 'chuyện', 'gì', 'cũng', 'có thể', 'xảy', 'thôi trất', 'đừng', 'tin', 'ai']"
sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe cười_nhe_răng,Enjoyment,"['sau', 'em', 'làm', 'cô giáo', 'ngồi', 'kể', 'chuyện', 'hs', 'há', 'mồm', 'nghe', 'cười_nhe_răng']"
"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à",Anger,"['con', 'chó', 'đăng video', 'mày', 'ngu', 'à', 'mỗi', 'mẩu', 'hiện', 'chữ', 'ăn cặc', 'à']"
coi video chưa hiểu gì đã làm ầm lên,Disgust,"['coi', 'video', 'chưa', 'hiểu', 'gì', 'làm', 'ầm', 'lên']"
chả mong gì nhiều chỉ mong về già được như hai ông bà ! cười_mỉm,Enjoyment,"['chả', 'mong', 'gì', 'nhiều', 'chỉ', 'mong', 'về', 'già', 'hai', 'ông bà', '!', 'cười_mỉm']"
yêu chết đi được .,Enjoyment,"['yêu', 'chết']"
mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt khóc_nức_nở . người cha thật vĩ đại,Sadness,"['mày', 'định', 'lướt', 'qua', 'nhưng', 'đọc', 'bình luận', 'bạn', 'xem', 'kĩ lại', 'mày', 'rớt', 'nước mắt', 'khóc_nức_nở', 'người', 'cha', 'vĩ đại']"
xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết cười khá mệt,Sadness,"['xin', 'chơi', 'bạn', 'ngày', 'tổng kết', 'không', 'cứ', 'bắt học', 'miết', 'cười', 'khá', 'mệt']"
cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,Anger,"['cá nhân', 'mình', 'nghĩ', 'nó', 'dừng', 'hay', 'đỗ', 'đúng sai', 'ca', 'pạt', 'còn', 'nó', 'đỗ', 'trước', 'cửa', 'nhà', 'mình', 'oto', 'hay', 'xe', 'không', 'ra vào', 'lúc', 'mới', 'ý kiến', 'công nhận', 'bọn', 'oto', 'đỗ', 'trước', 'nhà', 'nhìn', 'chỉ', 'muốn', 'đốt']"
từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá khóc_nức_nở,Fear,"['từ', 'đầu', 'năm', 'giờ', 'chắc', 'chụp', '10', 'lần', 'huhu', 'sợ', 'khóc_nức_nở']"
t gặp quả này thì bỏ xe mà chạy ?,Fear,"['t', 'gặp', 'quả', 'bỏ', 'xe', 'chạy', '?']"
thế con trai là của ai cho,Other,"['thế', 'con', 'trai', 'ai']"
per đây mí chính là cụ tổ của những chiếc sừng này,Surprise,"['per', 'đây', 'mí', 'chính', 'cụ', 'tổ', 'chiếc', 'sừng']"
muốn share về mà sợ bị bạn nè phẫn nộ quá,Fear,"['muốn', 'share', 'về', 'sợ', 'bạn', 'nè', 'phẫn nộ']"
