Sentence,Emotion,Tokenized_Sentence
nó giống tao ghê . gặp tao tao cũng chọn mày,Enjoyment,"['nó', 'giống', 'tao', 'ghê', 'gặp', 'tao', 'tao', 'cũng', 'chọn', 'mày']"
nhìn mặt nó nhăn nhó khó chịu vãi,Disgust,"['nhìn', 'mặt', 'nó', 'nhăn nhó', 'khó chịu', 'vãi']"
ai biểu đã vất vả rồi còn hám gái lo làm ăn đi trưởng thành 4050 tuổi giàu rồi thiếu gì gái trẻ theo mà cứ nhất định lúc nghèo vẫn phải có gái yêu mới chịu con gái người ta chắc không có gánh nặng trên vai á chắc gái nghèo ai cũng lấy được hoàng tử á nghèo lấy nghèo đầy ra kia kìa múc nhau tối ngày kìa tắt văn và nhìn vào thực tế đi,Anger,"['ai', 'biểu', 'vất vả', 'còn', 'hám', 'gái', 'lo', 'làm ăn', 'trưởng thành', '4050', 'tuổi', 'giàu', 'thiếu', 'gì', 'gái', 'trẻ', 'theo', 'cứ', 'nhất định', 'lúc', 'nghèo', 'vẫn', 'phải', 'gái', 'yêu', 'mới', 'chịu', 'con', 'gái', 'người', 'ta', 'chắc', 'không', 'gánh', 'nặng', 'trên', 'vai', 'á', 'chắc', 'gái', 'nghèo', 'ai', 'cũng', 'lấy được', 'hoàng tử', 'á', 'nghèo', 'lấy', 'nghèo', 'đầy', 'kìa', 'múc', 'nhau', 'tối ngày', 'kìa', 'tắt văn', 'nhìn', 'vào', 'thực tế']"
chúc mừng em và chúc em học tập tốt ngành học đã chọn ! niềm tự hào của tây bắc !,Enjoyment,"['chúc mừng', 'em', 'chúc', 'em', 'học tập', 'tốt', 'ngành', 'học', 'chọn', '! niềm', 'tự hào', 'tây bắc', '!']"
mày không phải nhảy vào mồm tao như thế . nhảy vào là tao cạp cạp cạp .,Anger,"['mày', 'không', 'phải', 'nhảy', 'vào', 'mồm', 'tao', 'như thế', 'nhảy', 'vào', 'tao', 'cạp', 'cạp', 'cạp']"
vì tao xấu và chúng nó chỉ thích gái đẹp,Sadness,"['tao', 'xấu', 'chúng nó', 'chỉ', 'thích', 'gái', 'đẹp']"
ăn cơm mốc có khả năng bị ung thư gan cao . hít,Sadness,"['ăn', 'cơm', 'mốc', 'khả năng', 'ung thư', 'gan', 'cao', 'hít']"
như con ma tơi có ngày ném cho cái cốc vào mặt thì đừng trách,Anger,"['con', 'ma tơi', 'ngày', 'ném', 'cái', 'cốc', 'vào', 'mặt', 'đừng', 'trách']"
"per nếu có khi nào thấy bản thân vô dụng hay là thất bại , thì hãy nhớ có những người chế tạo ra mấy cái của nợ này . cười",Enjoyment,"['per', 'nếu', 'có khi', 'nào', 'thấy', 'bản thân', 'vô dụng', 'hay là', 'thất bại', 'hãy', 'nhớ', 'người', 'chế tạo', 'mấy', 'cái', 'nợ', 'cười']"
dume đồng nghiệp gặp hlin thì chỉ muốn nghỉ thôi,Anger,"['dume', 'đồng nghiệp', 'gặp', 'hlin', 'chỉ', 'muốn', 'nghỉ']"
"thanh xuân của tớ gặp cậu rồi , 4 năm rồi , chỉ có điều vẫn là 2 đường thẳng song song",Sadness,"['thanh xuân', 'tớ', 'gặp', 'cậu', '4', 'năm', 'chỉ', 'có điều', 'vẫn', '2', 'đường thẳng', 'song song']"
có ai thấy giống người đẹp 9 p không ?,Other,"['ai', 'thấy', 'giống', 'người', 'đẹp', '9', 'p', 'không', '?']"
hỏng xe và phải đền tầu hỏa . có thể phải đi tù nếu gây hậu quả nghiêm trọng . đầu đất là có thật . trầm_ngâm,Disgust,"['hỏng', 'xe', 'phải', 'đền', 'tầu hỏa', 'có thể', 'phải', 'tù', 'nếu', 'gây', 'hậu quả', 'nghiêm trọng', 'đầu', 'đất', 'trầm_ngâm']"
mạng nhện chắc đóng kín rồi nhỉ,Other,"['mạng', 'nhện', 'chắc', 'đóng', 'kín', 'nhỉ']"
cha con y chang nhau cười_chảy_nước_mắt 1 khuôn đúc ra,Surprise,"['cha con', 'y chang', 'nhau', 'cười_chảy_nước_mắt', '1', 'khuôn', 'đúc']"
định mệnh gớm vãi nôn_mửa,Disgust,"['định', 'mệnh gớm', 'vãi', 'nôn_mửa']"
có 1 đứa hợp tác vậy là cũg quý hóa quá rồi,Enjoyment,"['1', 'đứa', 'hợp tác', 'cũg', 'quý hóa']"
"thôi đi cháu , chưa đủ tuổi thì đừng mê trai , đừng đẩy con nhà người ta vào tù đùa",Other,"['cháu', 'chưa', 'đủ', 'tuổi', 'đừng', 'mê trai', 'đừng', 'đẩy', 'con', 'nhà', 'người', 'ta', 'vào', 'tù', 'đùa']"
per b trà ơi . năm nay là pải mạnh dạn và bất chấp nhé cười_lăn_lộn_trên_sàn,Enjoyment,"['per', 'b', 'trà', 'ơi', 'năm', 'nay', 'pải', 'mạnh dạn', 'bất chấp', 'nhé', 'cười_lăn_lộn_trên_sàn']"
ê sao tui lại thấy chồng tui làm phiền tui vậy trời ngủ cũng không yên,Anger,"['ê sao', 'tui', 'thấy', 'chồng', 'tui', 'làm phiền', 'tui', 'trời', 'ngủ', 'cũng', 'không', 'yên']"
ăn hại vãi cả lồn cười,Anger,"['ăn hại', 'vãi', 'cả', 'lồn', 'cười']"
"ngay bây giờ , chỉ cần anh thật lòng với tôi là được cười",Other,"['ngay', 'bây giờ', 'chỉ', 'cần', 'anh', 'lòng', 'tôi', 'cười']"
"thứ hãm cười_lớn , trêu vô duyên vãi , xấu mặt dân tao",Disgust,"['thứ', 'hãm cười_lớn', 'trêu', 'vô duyên vãi', 'xấu', 'mặt', 'dân', 'tao']"
đúng vậy dù có mệt mà đồng nghiệp nhiệt tình vui vẻ là cùng muốn đi hoài,Enjoyment,"['đúng', 'dù', 'mệt', 'đồng nghiệp', 'nhiệt tình', 'vui vẻ', 'là cùng', 'muốn', 'hoài']"
cỡ đó luôn hả suy_nghĩ,Surprise,"['cỡ', 'luôn', 'hả', 'suy_nghĩ']"
hahah tao chưa nghe hoàn chỉnh bài này lần nào,Enjoyment,"['hahah', 'tao', 'chưa', 'nghe', 'hoàn chỉnh', 'bài', 'lần', 'nào']"
kiểu lâu lâu cũng không được nhắn tin cho ai như thế nên cũng muốn tình cảm xíu cười biết đâu,Enjoyment,"['kiểu', 'lâu lâu', 'cũng', 'không', 'nhắn tin', 'ai', 'như thế', 'cũng', 'muốn', 'tình cảm xíu', 'cười', 'biết đâu']"
mẹ đang buồn ỉa mà trên đường về gặp mớ gờ giảm tốc kia thì phọt bà ra quần sợ_hãi,Fear,"['mẹ', 'buồn ỉa', 'trên', 'đường', 'về', 'gặp', 'mớ', 'gờ', 'giảm tốc', 'phọt', 'bà', 'quần', 'sợ_hãi']"
per hôm nay tới lượt đứa nào nấu cơm,Other,"['per', 'hôm nay', 'tới', 'lượt', 'đứa', 'nào', 'nấu', 'cơm']"
per mang võng ra không lại tủi không thể ngồi,Other,"['per', 'mang', 'võng', 'không', 'tủi', 'không thể', 'ngồi']"
bình thương tao hay cười lắm . nhưng khi tức tên . tao lại khóc . quá yếu đuối,Sadness,"['bình thương', 'tao', 'hay', 'cười', 'lắm', 'nhưng', 'tức', 'tên', 'tao', 'khóc', 'yếu đuối']"
