Sentence,Emotion
cho mình xin bài nhạc tên là gì với ạ,Other
cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡,Disgust
lo học đi . yêu đương lol gì hay lại thích học sinh học,Disgust
uớc gì sau này về già vẫn có thể như cụ này :)),Enjoyment
mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .,Enjoyment
thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết,Anger
một lí do trog muôn vàn lí do,Other
thật hay đùa ác vậy . không thể tin được,Surprise
"ko phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠",Anger
per nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa,Sadness
công nhận sáng tạo thật đấy,Enjoyment
đòn tấn công cực gắt và cục sút của anh 😂😂😂,Disgust
trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3,Other
minh biết nữa ne,Enjoyment
mấy thằng củ lol việt nam nhảm nhí :)),Disgust
"tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ , bi ̣ lơ ̉ miê ̣ người",Sadness
"bếp dầu , nhiều nhà vẫn dùng",Other
nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề,Other
"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",Fear
sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁,Enjoyment
"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à",Anger
coi video chưa hiểu gì đã làm ầm lên,Disgust
chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊,Enjoyment
yêu chết đi được .,Enjoyment
mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại,Sadness
xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt,Sadness
cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,Anger
