Sentence,Emotion
xin lỗi chứ loại này tôi đéo bao giờ chơi lần 2 éo hiểu vui gì giỡn gì tới lúc 3 mặt 1 lời con bị nói xấu nó đánh mình chắc nhỏ này cũng đứng cười,Disgust
đã sợ bị đánh thì đừng có nói :)),Anger
đã sợ đừng có nói:)) bản lĩnh cái thằng đàn ông nói ra được thì chịu được,Anger
chắc cuộc đời mày chưa bao giờ nói xấu ai chứ đi vô chùa ta nói không biết phải lạy ai luôn 🥰,Anger
biết vậy nhưng cái mỏ nó giật lắm mày 🤣 với chúng nó cũng nói xấu tôi mà có qua có lại cho toại lòng nhau haha,Disgust
tôi nói xấu trước mặt luôn ý chứ sao phải nói sau lưng :)),Anger
đời mày đi học chắc ngồi đài sen không nói xấu thầy cô giáo hay mày dám chửi thầy cô trước mặt 🤡 nào xàm lồn nữa đi,Anger
mày bị ngu à tôi chửi thẳng mặt con nào thằng nào tôi ghét ý đéo phải đợi mà ngồi nói sau lưng nó mày hiểu vấn đề ở đây không,Anger
mấy thằng như này anh hùng mõm thôi :)),Disgust
đọc hiểu còn đéo xong bày đặt đi phản biện :)),Anger
🤡 chúa hề,Disgust
đéo nói lại được cái gì à,Anger
chỉ có chức năng không nói xấu chứ không có chức năng phù hộ =)))),Disgust
thằng cụ mày nói cùn thế thì chả chịu giờ tôi nói tôi cũng chưa bao giờ ăn cơm cả thì mày cũng phải tin thôi 🤡,Anger
bố thằng con lợn ngu nói đéo vào vấn đề đéo gì cả :)),Anger
đàn ông đéo đâu trên ảnh là đàn bà mà bị ngáo à :)),Anger
giải trí vãi lồn,Disgust
điểm vùng của anh bạn có thể đủ để đỗ đại học,Disgust
bạn bè gì loại này,Disgust
là thân dữ chưa,Disgust
chỉ có mình coi nó là bạn thân thôi còn nó thì chưa biết,Disgust
sau khiếp :))) không dám kể nửa may là kể chuyện mình chứ chuyện người khác biết tay nhau liền 😶,Fear
bạn bè con cặc,Disgust
:)) rắn độc gọi bằng cụ,Disgust
này là bè chứ không phải bạn =))),Disgust
chồi chồi,Surprise
nói xấu người khác được nằm trong top các môn thể thao nguy hiểm 😬,Fear
cười cười cái lồn mất dạy,Anger
1 rắn độc bị phát hiện 1 rắn độc bạn thân,Disgust
nó đang cắn mình chứ bạn bè địt mẹ gì,Anger
bạn thân không ác thì ai ác 🤣,Disgust
1 cục phấn bẻ làm đôi ngay cho tôi,Anger
tổ rắn độc =)))),Disgust
quay lén về nghe lại cho đã,Enjoyment
vãi lồn là thân dữ chưa,Disgust
bạn thân dữ :),Disgust
1 rắn độc :))),Disgust
:)) tôi thề địt mẹ con trai ngồi tâm sự mỏng với nhau đéo bao giờ có thể loại ngồi im quay như này ai cũng phải góp vui vài câu nhưng mà hội chị em ngồi quây lại với nhau kiểu gì cũng lòi ra 12 con rắn 🤣,Disgust
cho nó vào thùng xốp nốt 😂,Enjoyment
con trai có thể ở cùng phòng trọ với nhau 1 năm thậm chí là 5 năm nhưng riêng con gái thì không quá 2 tháng =))) các ông hiểu ý tôi chứ,Disgust
kaka chỗ tôi có 2 con dở hơi phốt nhau hài dữ mấy đồng bạc kaka,Enjoyment
rắn độc có rắn độc hơn,Disgust
bạn bè gì ngữ này,Disgust
1 vote nghỉ chơi,Anger
đúng là lòng dạ se điếu,Disgust
loại này bản chất nó thế sẵn sàng đâm sau lưng người khác,Disgust
không khéo nó còn giật cả bồ :)),Fear
2 đứa có khác mẹ gì nhau đâu cùng quay nhau mà ác độc như nhau kaka,Disgust
ớn thiệt mày với tôi khỏe re có 1 điểm chung là không thích nói xấu người khác,Disgust
bạn bè như cái bẹn bà 🙄,Disgust
tưởng livestream 😂,Enjoyment
nhỏ bạn tâm cơ gì vậy,Disgust
bè này chìm 🤣,Enjoyment
này là thân ai nấy lo mẹ rồi còn đâu :’)),Sadness
nói xấu thì cẩn thận kaka,Enjoyment
vài bữa 3 mặt 1 lời là có điềm liền kaka,Enjoyment
đừng nói xấu người khác sau lưng vì chính bạn cũng là người bị nói xấu khi không có mặt ở đó thôi 🤣,Enjoyment
con rắn độc phải gọi chị này bằng cụ,Disgust
tôi tưởng phát trực tiếp luôn chứ 😂,Enjoyment
tôi đang nói mày đó thứ hỗn láo 🤣🤣🤣,Disgust
bộ mắc nói xấu người khác lắm hả,Anger
block luôn chứ còn gì nữa à mà mình không có thói quen nói xấu ai cả chỉ toàn là trung gian cho bọn mafia nó nói xấu nhau thôi,Disgust
này bỏ đi là vừa,Anger
vãi lồn luôn,Surprise
ác,Surprise
thế chắc em chỉ nói xấu thôi đúng không,Disgust
phe ta đã mất hết trụ :)),Enjoyment
phe ta đang ăn tà phe địch đẩy đến tận nhà kaka,Enjoyment
lính 3 đường siêu cấp tấn công 🤓,Enjoyment
kỳ vậy bà,Surprise
để lúc không chơi nữa nó bóc phốt đó,Fear
bè chứ bạn địt mẹ gì cái loại khốn nạn này :)),Disgust
bạn cái lồn gì loại này,Disgust
này là bạn chơi thân chứ bạn thân địt mẹ gì thân ai nấy lo :)),Disgust
bạn cái lồn gì bạn gì,Anger
sợ nha,Fear
không tag không dính đâu :))))) đã tag là quay không trượt phát nào,Enjoyment
đi với bụt mặc áo cà sa đi với rắn độc thì đem dao,Disgust
vậy là 2 đứa này hại mình 🙃,Sadness
chúng mày coi chừng,Anger
🙄 nó 2 bang đó,Disgust
ê nha,Surprise
đừng ác nha 🤣,Enjoyment
thân thiết gì loại này :)),Disgust
nếu trong 1 nhóm bạn khi không có người nào đó mà mấy đứa khác lại nói xấu về người đó thì tin tôi đi khi không có mình ở đó bọn đó cũng nói xấu mình thôi nên nghỉ chơi với mấy đứa sống kiểu vậy đi,Disgust
rắn 🐍,Disgust
thứ mất dạy chứ bạn bè gì loại này đội lốt người chứ nó là rắn độc :))),Disgust
mày đừng để tôi up lên 😌,Anger
1 bạn ❌ 1 gián điệp 2 mang ✅,Disgust
đéo hiểu là có gì vui chơi kiểu vậy dẹp mẹ đi thân đéo gì không may có bất đồng cái là lật mặt nhau liền,Anger
lộn cái bàn 🤣,Disgust
ê nha ê nha,Surprise
hỏi chấm con mẹ nó luôn,Anger
cảnh này thật quen thuộc :)),Enjoyment
nóng người,Anger
thật sự là kém đúng ra phải ghi âm như anh em mình thế là bọn kia không cãi được 🤣,Enjoyment
con mãng xà này,Disgust
loại này chỉ có vứt,Disgust
1 rắn độc 🐍,Disgust
phụ nữ là thứ sinh vật vô cùng ngu xuẩn,Disgust
1 rắn độc 🐍,Disgust
trói nó lại mang ra nhà nghỉ gần nhất rồi báo lại số phòng cho tôi 🫡,Anger
đồ độc ác,Anger
kỳ vậy :),Surprise
rắn,Disgust
mày chết,Enjoyment
ê loại này nên né chứ bạn bè cái quần què gì,Disgust
là sao nữa vậy :))),Surprise
phụ nữ là cái gì đó mà vũ trụ này cũng địt mẹ giải thích được,Disgust
bạn thân ai người ấy lo 😂,Disgust
loại này vứt,Disgust
gì vậy má :)),Surprise
nói xấu nhưng quay video 😬,Fear
cẩn thận chính con bạn thân lại đâm mày đấy mà con bạn thân cũng cẩn thận với những đứa hay nói xấu người khác thì kiểu gì chính mày cũng bị nó nói xấu thôi :))),Fear
bạn thân lồn gì,Disgust
loại hai lòng nó vậy đó ai nó cũng muốn thân thằng nào nó cũng muốn chơi ác,Disgust
rắn gọi bằng cụ tổ,Disgust
ê sợ nha =))),Fear
ghi lại nào nghỉ chơi phốt =))),Enjoyment
thế địt mẹ mày đứa nào quay lại toàn cảnh cái video này 🥺,Anger
ác như vậy 🤣🤣🤣,Enjoyment
sợ vãi lồn 😂😂,Fear
thâm thì thôi luôn má quãi chè đậu,Disgust
đùa à mày,Anger
địt mẹ rắn 2 chân,Disgust
ghê quá mới hóng được ảnh clip mới nhất trên hóng hớt mỗi ngày,Fear
bộ công ty mình nghèo lắm hay sao mà để nhà nước nuôi cơm chỉ vậy,Disgust
chúng tôi gọi đó là đi bồi dưỡng nghiệp vụ 🤣🤣🤣,Enjoyment
nghỉ theo khoản mấy vậy chị,Disgust
nhanh trí nói mai em đi tù rồi chị ơi 🤣,Enjoyment
chắc luật thai sản mới thôi mà,Disgust
không nha anh ơi cỡ kế toán trưởng mà nghỉ lâu thế thì nhân sự chỉ là chữ viết tắt trong mắt em thôi ạ🫠 àk hi hi,Disgust
chỉ tính đẻ 5 đứa nên nghỉ thai sản hơi lâu thôi ý mà 🐧,Disgust
chị đi công tác vùng nào vậy ạ :)),Disgust
chỉ đi trồng rau đúng không 😂,Disgust
ý là kịch khung là 10 năm còn không thì chị bồi dưỡng 7 năm xong về nhường lại ghế 🤭,Enjoyment
đột xuất cỡ này chỉ có đi tù ))),Enjoyment
công ty mình tốt quá vị trí của chị vẫn đảm bảo đi làm bình thường sau 710 năm nghỉ đột xuất luôn á tốt quá rồi,Enjoyment
khoản 2 à 🤣🤣🤣,Enjoyment
lần nghỉ phép này chắc phải đến lúc nghỉ hưu luôn quá,Enjoyment
chị nghỉ đột xuất mà chị nghỉ ngắn ngày quá hả chị 🤣,Enjoyment
710 năm nữa chị quay lại thì đến lượt em nha 😂,Enjoyment
trân sinh nghề tử nghiệp quá 😅😂😂,Enjoyment
em không thích ăn cơm nhà nước chị ạ thế nhé,Enjoyment
nhà nước bao nuôi chị rồi :))),Enjoyment
đọc nhanh quá tưởng nghỉ phép 710 ngày 🤣🤣🤣,Enjoyment
sai 1 ly đi cái 10 cuốn lịch,Enjoyment
chị đi nghỉ dưỡng ạ,Surprise
nghỉ thật hay bóc lịch 10 năm,Enjoyment
chắc chị nghĩ hưu luôn rồi,Enjoyment
mai mốt đi làm coi chừng nghỉ đột xuất 710 năm nha em 😌,Fear
chị thu đi tù ạ,Enjoyment
có vẻ chị ấy đi đào tạo nghiệp vụ hơi lâu:))),Enjoyment
chắc đi tu theo khoá nên vậy,Enjoyment
chị lành ít dữ nhiều chắc giảm án cũng sâu à :)),Enjoyment
hèn chi bà kế toán viên công ty tôi nghe nói bả vô làm lúc công ty mới thành lập luôn đã trải qua mấy đời kế toán trưởng rồi mà công ty bổ nhiệm bả lên kế toán trưởng bả nhất định không chịu làm kế toán viên thôi kaka,Enjoyment
không chị em không muốn thăng tiến trong thời điểm này cảm ơn chị,Disgust
bận đi tu dưỡng đạo đức à:)),Enjoyment
trại giam chí hòa hân hạnh chào đón chị 😂😂😂,Enjoyment
nghề không biết ăn cơm nhà nước lúc nào🙃,Enjoyment
rồi chị đi bồi dưỡng theo bả khoan luôn,Enjoyment
710 năm chắc đi tù 😂,Enjoyment
chắc nghỉ thai sản thôi không cần lo lắng quá,Enjoyment
cụ thể là đi tù,Enjoyment
không biết nên vui hay buồn 🥹,Enjoyment
tôi là admin tôi cũng bấm nút biến hình luôn chạy nhanh còn kịp,Fear
nghỉ đẻ đột xuất dài hạn 🤣🤣🤣,Enjoyment
viết 710 năm là được rồi viết rõ kế toán mới không dám nhận việc đâu 😂,Enjoyment
nghỉ ăn dưỡng hơi lâu nhỉ,Enjoyment
trong 36 kế thì kế toán dễ được nghỉ dưỡng lâu dài nhất kaka,Enjoyment
winmart cứu chị 1 mạng rồi đấy:))))😌,Enjoyment
chị đi mút chỉ =)),Enjoyment
là đẻ 34 đứa liền hay là đi tù 710 năm 🤣,Enjoyment
chị ấy chỉ đi tu nghiệp thôi em àk kaka,Enjoyment
nhắm làm được không chị 😂,Enjoyment
nghe thấy hấp dẫn liền 😇,Enjoyment
7 đến 10 năm sau đến lượt em có việc đột xuất,Fear
chị nghỉ đi mua lắc bạc à admin :))),Enjoyment
summer trips gì dài dữ vậy chị,Surprise
em chắc có sao thì đi khoản 1 thôi 😅,Enjoyment
vài bữa đi theo chị thu luôn,Fear
rồi chị ra xong em có vào thay không má 🤣🤣🤣,Enjoyment
may không sang kế toán nha 🤣,Enjoyment
chắc chị nhận công tác mới trong tù nhiệm vụ bóc lịch,Enjoyment
nghỉ dữ chị,Enjoyment
việc đột xuất này thấy cấn cấn à :))))),Enjoyment
dạ kính thưa chủ tọa con tên kaka má khiếp đến già,Fear
bộ chị đi thăm nhà đá hay gì mà lâu vậy,Surprise
cơ hội cao tới rồi bây ơi 🤣🤣 bữa mấy đứa hắc dịch với cao coi mà lo liệu nha 😝😝😝😝,Enjoyment
nằm khoản 2 hoặc 3 😂😂,Enjoyment
đọc bình luận cười ẻ,Enjoyment
đọc cho vui😆,Enjoyment
kế toán nghỉ thì gia đình cũng nghỉ chứ nhỉ 😂,Enjoyment
đi du lịch lâu thế,Surprise
bức tường cao phủ kín thép gai,Enjoyment
chỉ vô tù hả chị 😂😂,Enjoyment
nhớ đi thăm chị thu để không thôi chị buồn á nghe hỏi chị coi khoản mấy mà chị đi dữ vậy :))),Enjoyment
chị thu đội luôn,Enjoyment
yên tâm em trông khôn hơn em chắc tầm 3 năm,Enjoyment
chị đi rồi chuẩn bị tới em,Fear
con anh thu làm kế toán là cũng hay đột xuất nhà nước nuôi cơm vậy nè,Enjoyment
nào lên là đi ăn mừng nhá,Enjoyment
vào luôn đi em 😆,Enjoyment
xúc động dữ á 🥴,Enjoyment
nghỉ đi tù à,Enjoyment
ê sao đi đâu cũng chị kế toán trưởng đi vậy không ấy mình chọn ngành khác được không riết rồi ai chọn làm kế toán trưởng nữa tôi tôi,Sadness
chị đi lúc mùa em chuẩn bị theo á hả anh,Fear
chị đó mặc áo số rồi àk 😔,Sadness
đột xuất kiểu gì mà dữ vậy,Surprise
thôi phúc này em không dám nhận =))),Enjoyment
là đi tù á hả :))),Enjoyment
tàn canh gió lạnh 🤣,Enjoyment
nghỉ dưỡng hay gì nghỉ dữ vậy chị 🥹,Surprise
chắc chị có tư bản bao nuôi rồi 🙂‍↕️,Enjoyment
7 _ 10 năm haha,Enjoyment
đột xuất mà biết luôn khoảng thời gian mới ghê 😄,Enjoyment
ứng tuyển 😂,Enjoyment
chị ấy đi khóa tu 4 mùa trọn gói 10 năm cho tâm trong sạch,Enjoyment
bon bon thế à chị :))),Enjoyment
chị đá cho juventus rồi ạ,Enjoyment
chị ấy đi việc gì đột xuất mà lâu vậy,Surprise
thôi thì mai đi tù sớm để mai sau khỏi phải đi tù,Enjoyment
tàn canh chuyến này,Sadness
hết phước,Enjoyment
chị thu nghỉ việc đột xuất theo khoản 3 :))))))),Enjoyment
chà chuyến đi này hơi lâu nhỉ,Surprise
chắc chị nhân sự nhắn nhầm em làm tạm thấy chị kế toán trưởng 78 hôm nha 🤣,Enjoyment
hồi đó đi làm kế toán coi chừng tàn canh ☺️,Fear
đi tù à kaka,Enjoyment
ho ngoc nghề này giờ hot 🤣🤣🤣,Enjoyment
là được lên chức hay chỉ giữ hộ ghế nhỉ kaka,Enjoyment
nghỉ mát thôi,Enjoyment
trong tất cả các nghề nghề kế toán dễ đi tù nhất 😆,Enjoyment
đi tù rồi hả chị thu,Enjoyment
đáng lẽ phải ghi chị thu nghỉ theo khoản 3 mới xúc tích,Enjoyment
chị nhân sự chỗ anh có thế không 🤡,Enjoyment
thèm món gì đi thăm nè huhu 😭😭😭,Sadness
không nói số năm chị nghỉ còn dám làm nhìn số năm chị nghỉ là em niệm luôn 🤣,Enjoyment
thu họ góp chỉ là đàn chó chính phủ nuôi cứ đòi đánh tôi khác gì chó cắn người đâu chính phủ nó bắt ăn cứt thì thu họ góp cũng phải ăn bắt ngủ với chó thu họ góp cũng phải ngủ khác gì chó con đâu mà tưởng mình to chính phủ trông chó của chúng mày cho cẩn thận không tôi lại giết cả chủ lẫn chó giờ,Anger
nghỉ hưu hay gì nghỉ dữ vậy,Enjoyment
mãn hạn tù thì cũng mãn kinh :)),Enjoyment
việc này nó kỳ kỳ ghê 🤪🤪🤪,Enjoyment
bay tốc tốc cơ dành slot nhập kho top 1 của mấy bạn kế toán rồi :)),Enjoyment
đợi chị vô làm chắc em thăng chức làm sếp chị luôn rồi,Enjoyment
chắc mới anh 7 em 3 nên mới đi nghỉ dưỡng lâu vậy chứ,Enjoyment
chị đi dữ vậy,Surprise
coi chừng chuẩn bị vào tròng nên phân biệt việc làm từ khi nhận việc tránh việc cũ để mới nhận trách nhiệm không nên ký giấy tờ của người cũ để lại tránh vụ việc đáng tiếc xảy ra vì chữ ký của mình việc nào mình làm là ký,Fear
chị bận chuyển công tác vào tù rồi,Enjoyment
nghĩ đến 67 tháng xa bạn tôi không thiết ăn uống gì cả 😋 ăn quả mận cũng không thấy chua😂,Enjoyment
đi tù hay sao mà 710 năm 🤣,Enjoyment
công ty thương nhân viên ghê ra tù không lo thất nghiệp,Enjoyment
đột nhiên chị được nhà nước bao nuôi :))))),Enjoyment
tới đây là phải nhảy số liền không thì đạp cứt của chị thu đó 😂,Enjoyment
chị bầu thánh gióng,Disgust
sai 1 chữ kí đi 10 năm lận hả chị 😂,Enjoyment
nghỉ thai sản thôi hả,Surprise
phàm trong thiên hạ có 36 kế kế toán là dễ đi tù nhất,Disgust
học điện tử rất hay nhưng nó thuộc chuyên ngành hẹp nên khó xin việc ra chợ nhật tảo bây giờ mới thấy các tiệm bán và sửa chữa điện tử thu hẹp rất nhiều không giống như ngày xưa ngày xưa đi chợ rất thích nào là các đèn chạy chữ nhấp nháy linh kiện như điện trở tụ điện ic diod giờ đồ điện tử hư họ bỏ luôn ít ai sửa nên thợ bỏ nghề nhiều,Sadness
thành phố hồ chí minh hội tụ tinh hoa các trường đại học đào tạo khoa học kỹ thuật và công nghệ khu vực phía nam nên điều này cũng không có gì lạ chỉ tiếc cho các bạn ở tỉnh khác có thể không có điều kiện học như thành phố hồ chí minh,Sadness
tiên học lễ hậu hăn văn đâu ở mỹ những bang đỏ ở trường đều dạy tôn giáo và giá trị con người không hiểu sao ở việt nam bỏ đi giá trị này,Sadness
đa số các cháu chọn xã hội là để cho dễ đậu lấy cái bằng rồi đi xuất khẩu lao động thôi,Disgust
sau tất cả em thấy lịch sử đỉnh nhất ạ,Enjoyment
miền bắc giờ xu hướng học sinh chọn các môn khoa học xã hội nhiều buồn lắm thầy ạ,Sadness
tai nạn giao thông nỗi ám ảnh của mọi gia đình,Sadness
nam mô a di đà phật🙏🏻🙏🏻🙏🏻,Sadness
mọi người đi né xe tải ra đi nhường cho họ đi trước hoặc mình bỏ 1 2 cái đèn đỏ luôn cũng được mình có vài chiếc xe tải lâu lâu đi lấy hàng ngồi trên cabin thật là dưới có nhiều điểm mù lắm mọi người mà xe tải với ô tô họ chạy đúng làn của họ nhường họ đi rồi mình đi không thiệt thòi đâu hơn thua xe nhỏ đụng xe bự xe nhỏ thiệt thòi không à chia buồn với gia đình,Sadness
nam mô a di đà phật đau lòng chia buồn cùng gia đình,Sadness
thương tâm quá,Sadness
đời người thật vô thường mong anh chị và cháu siêu thoát,Sadness
khổ quá vậy trời,Sadness
chia buồn cùng gia đình,Sadness
khổ quá thôi 😞,Sadness
nam mô tiếp dẫn đạo sư a di đà phật🙏🏻🙏🏻🙏🏻,Sadness
đang đi cày đi làm nơi xa mà nghe tin cả gia đình mất hết vậy còn gì đau đớn hơn =(( quá khổ,Sadness
xin chia buồn cùng gia đình,Sadness
a di đà phật,Sadness
một lúc mất 3 người thân,Sadness
xe tải lớn xuất hiện ngày càng nhiều trong khi hạ tầng giao thông lại tai nạn thường xuyên khắp cả nước mỗi ngày thêm nhiều mạng người bao giờ hết rủi ro bao giờ tách được đường vận chuyển ra khỏi đường dân sinh,Fear
trời đau lòng quá tâm trạng bạn đang ở nhật giờ chắc suy sụp lắm mong mọi chuyện sẽ ổn với bạn ấy,Sadness
mọi thứ như sụp đổ,Sadness
không dám đối mặt với sự thật mất :((,Sadness
cái đường nó đông xe cộ lắm đi lại phải cẩn thận,Fear
nghẹn ngào quá tội bạn quá,Sadness
a di đà phật 🙏🙏,Sadness
chỗ gần đối diện nhà em này 😭,Sadness
người ở lại là người đau đớn nhất :(,Sadness
người con còn lại về sao mà chịu nỗi đau thấu trời này đây xin chia buồn cùng gia đình 🙏,Sadness
chia buồn cùng đồng hương hải dương,Sadness
mong anh chị và cháu siêu thoát mong em trai lớn nén đau thương cố gắng sống thay phần cha mẹ và em trai,Sadness
thương tâm quá trời ơi🥹,Sadness
nhưng ở mỹ có xả súng,Fear
đi nhật mà nghe tin này còn gì đau hơn nữa trời 🙏🙏🙏,Sadness
nói đi nói lại đã là xe máy người thiệt đầu tiên là mình điều khiển ra vào qua đường phải biết nhìn và cẩn thận gặp suốt trường hợp chở cả gia đình thích bang là bang không cần biết xe phía sau như thế nào còi nó coi như không trong không đi cứ thích lấn ra ngoài chạy nhiều tình huống lắm nhiều lúc muốn chọi chai nước vỡ mồm nó mà thôi bỏ 🤣🤣,Fear
còn gì đau đớn hơn,Sadness
vừa đi qua xong quá xót xa,Sadness
đau thương quá,Sadness
đau đớn thật,Sadness
1 ngày mà mất hết tất cả 🥲,Sadness
đau thương quá trời ơi,Sadness
đi đường này rất nguy hiểm nhiều content và xe tải,Fear
quá đau lòng,Sadness
eo ơi sợ vãi,Fear
cái đường 38 này tai nạn suốt thôi,Fear
vô cùng luôn ấy 😭,Sadness
cái đường nguy hiểm nhất hải dương,Fear
chia buồn cùng gia đình mong anh chị và cháu sớm siêu thoát nam mô a di đà phật,Sadness
xe tải biển 88 chuyên bốc hàng ở ant khu công nghiệp tân trường cùng mình 😨,Fear
dạ nam mô a di đà phật,Sadness
10 người đi xe máy thì 8 người đi ẩu và không hiểu luật 10 người lái ô tô thì cũng đến 1 nửa đi ẩu nói chung văn hóa giao thông ở việt nam sợ lắm cứ phi ầm ầm không biết đường ai với đường ai cứ đường nhà tôi đi cái đã,Fear
nam mô a di đà phật thương quá,Sadness
điều đáng sợ nhất của mấy thằng đang ở nước ngoài không phải không có tiền mà là mấy vụ như thế này,Fear
quá xót xa xin chia buồn với gia đình,Sadness
bữa giờ nhiều vụ ở tuổi 49 ghê 🥺😔,Sadness
thương quá đang là 1 gia đình vui vẻ hạnh phúc giờ chỉ còn lại 1 người để đâu cho hết nỗi đau đây,Sadness
sợ nhất làn đường vừa xe máy vừa ô tô cùng nhau các nước phát triển họ để làn xe máy ô tô phân tách rõ ràng không có lấn làn gì hết thì giảm thiểu đi ra đường việt nam tầm này sợ lắm ghê người,Fear
đường này quá nhiều xe tải và các loại xe chạy rất mát ga 😌,Fear
đàn ông 😏😏😏😏,Disgust
trời ơi ngày nào mở facebook chỉ thấy tai nạn giao thông thôi xin gửi lời chia buồn đến gia đình bị nạn,Sadness
ngoài kia bao số phận đen em,Sadness
về nhà tự dưng còn mỗi mình😭,Sadness
trần ai khổ ải nam mô a di đà phật 🙏,Sadness
tiếc thương cho cả người ở và người đi,Sadness
trời ơi cầm điện thoại đọc tin mà run tay luôn khổ quá,Sadness
49 không qua được để đến 53,Sadness
khổ quá thật đau lòng,Sadness
vãi đứa con mới thi vào 10,Surprise
ngày nào cũng có cảnh tai nạn thương tâm 😢,Sadness
giờ ra đường có 3 làn xe thì xe lớn hết 2 làn kín đường ngày nào cũng có thương tâm chẳng dám đi đâu nữa,Fear
ngày nào cũng đi qua đoạn này sợ vãi chưởng 😖,Fear
chia buồn cùng gia đình nam mô a di đà phật,Sadness
a di đà phật xót xa quá ông trời ơi 😭😭😭 khổ thân quá đi làm sao mà cả 3 người cùng ra đi như vậy 😭,Sadness
huhu thế nên mới ước mơ có chiếc xe ô tô xe máy nhiều tai nạn giao thông quá,Sadness
