Sentence,Emotion,Tokenized_Sentence
không biết crush bây giờ có ở nhà không nữa khóc_nức_nở,Sadness,"['không', 'biết', 'crush', 'bây giờ', 'nhà', 'không', 'khóc_nức_nở']"
tại do bạn thoại kêu gọi chứ có phải mình chị hòa ăn đâu,Disgust,"['tại', 'do', 'bạn thoại', 'kêu gọi', 'chứ', 'phải', 'mình', 'chị', 'hòa', 'ăn', 'đâu']"
ai biểu đã vất vả rồi còn hám gái lo làm ăn đi trưởng thành 4050 tuổi giàu rồi thiếu gì gái trẻ theo mà cứ nhất định lúc nghèo vẫn phải có gái yêu mới chịu con gái người ta chắc không có gánh nặng trên vai á chắc gái nghèo ai cũng lấy được hoàng tử á nghèo lấy nghèo đầy ra kia kìa múc nhau tối ngày kìa tắt văn và nhìn vào thực tế đi,Anger,"['ai', 'biểu', 'vất vả', 'còn', 'hám', 'gái', 'lo', 'làm ăn', 'trưởng thành', '4050', 'tuổi', 'giàu', 'thiếu', 'gì', 'gái', 'trẻ', 'theo', 'cứ', 'nhất định', 'lúc', 'nghèo', 'vẫn', 'phải', 'gái', 'yêu', 'mới', 'chịu', 'con', 'gái', 'người', 'ta', 'chắc', 'không', 'gánh', 'nặng', 'trên', 'vai', 'á', 'chắc', 'gái', 'nghèo', 'ai', 'cũng', 'lấy được', 'hoàng tử', 'á', 'nghèo', 'lấy', 'nghèo', 'đầy', 'kìa', 'múc', 'nhau', 'tối ngày', 'kìa', 'tắt văn', 'nhìn', 'vào', 'thực tế']"
tao cũng phải về mở cho mẹ tao coi cười_chảy_nước_mắt,Enjoyment,"['tao', 'cũng', 'phải', 'về', 'mở', 'mẹ', 'tao', 'coi', 'cười_chảy_nước_mắt']"
người anh em thiện lành đã rời việt nam . say godbye,Other,"['người', 'anh em', 'thiện lành', 'rời', 'việt nam', 'say', 'godbye']"
per anh ơi đừng gym nữa . boxing là đụ rùi buồn,Sadness,"['per', 'anh', 'ơi', 'đừng', 'gym', 'boxing', 'đụ', 'rùi', 'buồn']"
chuẩn bị tinh thần đi cười_lăn_lộn_trên_sàn,Enjoyment,"['chuẩn bị', 'tinh thần', 'cười_lăn_lộn_trên_sàn']"
chắc tôi khác quá,Other,"['chắc', 'tôi', 'khác']"
thật hả trời,Surprise,"['hả', 'trời']"
không phải không thích mà bản thân chưa đủ tốt để sánh vai . phải chi anh có thể đợi em khôn lớn !,Sadness,"['không', 'phải', 'không', 'thích', 'bản thân', 'chưa', 'đủ', 'tốt', 'để', 'sánh vai', 'phải chi', 'anh', 'có thể', 'đợi', 'em', 'khôn lớn', '!']"
"ủa tao tưởng trái bòn bon chứ ,",Surprise,"['ủa', 'tao', 'tưởng', 'trái', 'bòn bon', 'chứ']"
"mình thấy cũng bình thường suy_nghĩ người_yêu mình ủ hũ mắm tôm , mắm tép nếu tiếp tục không rửa chắc hơn 30 năm nữa là đạt kỉ lục thế giới ủ mắm tôm 60 năm mất",Disgust,"['mình', 'thấy', 'cũng', 'bình thường', 'suy_nghĩ', 'người_yêu', 'mình', 'ủ', 'hũ', 'mắm tôm', 'mắm tép', 'nếu', 'tiếp tục', 'không', 'rửa', 'chắc', 'hơn', '30', 'năm', 'đạt', 'kỉ lục', 'thế giới', 'ủ', 'mắm tôm', '60', 'năm', 'mất']"
là tôi đó đó,Enjoyment,['tôi']
"chắc lại thấy tự hào , tưởng thế mà hay",Disgust,"['chắc', 'thấy', 'tự hào', 'tưởng', 'thế mà', 'hay']"
giống hệt mèo nhà mình không bao giờ kêu hay lao vào mâm chỉ ngồi nhìn thôi,Other,"['giống hệt', 'mèo', 'nhà', 'mình', 'không', 'bao giờ', 'kêu', 'hay', 'lao', 'vào', 'mâm', 'chỉ', 'ngồi', 'nhìn']"
cuối cùng per cũng thành công rồi nha per nha,Enjoyment,"['cuối cùng', 'per', 'cũng', 'thành công', 'nha', 'per', 'nha']"
dịch em với chồng ơi trầm_ngâm,Other,"['dịch', 'em', 'chồng', 'ơi', 'trầm_ngâm']"
"xem phim mà cứ nhìn cặp chân của ổng , chân gì mà dài thường thượt . chồi ôi 1 m87",Enjoyment,"['xem', 'phim', 'cứ', 'nhìn', 'cặp', 'chân', 'ổng', 'chân', 'gì', 'dài', 'thường', 'thượt', 'chồi', 'ôi', '1', 'm87']"
đây là hội à mày ? làm tao phải lên g tra sao lại đông người thế cười,Surprise,"['đây', 'hội', 'à', 'mày', '?', 'làm', 'tao', 'phải', 'lên', 'g tra', 'sao', 'đông', 'người', 'thế', 'cười']"
ui cưng quá,Enjoyment,"['ui', 'cưng']"
lại đến giờ giải trí rồi mềnh ơi per cười,Enjoyment,"['giờ', 'giải trí', 'mềnh', 'ơi', 'per', 'cười']"
"có rồi mà , nghén rồi nè hihi",Enjoyment,"['nghén', 'nè', 'hihi']"
"bạn bè nói chuyện cũng chụp post facebok , vui không ?",Disgust,"['bạn bè', 'nói chuyện', 'cũng', 'chụp', 'post', 'facebok', 'vui', 'không', '?']"
phần còn lại là nỗi nhớ và những lần thở dài buồn,Sadness,"['phần', 'còn', 'nỗi', 'nhớ', 'lần', 'thở dài', 'buồn']"
con gái thật lòng nhất khi con trai không có gì . con trai thật lòng nhất khi anh ta có tất cả mọi thứ . cuộc sống mà mỉa_mai có chắc mình thấy gái xinh là không tớn lên không mà đòi con người ta không mê tiền . phát biểu nghe thực dụng vãi,Disgust,"['con', 'gái', 'lòng', 'nhất', 'con', 'trai', 'không', 'gì', 'con', 'trai', 'lòng', 'nhất', 'anh', 'ta', 'tất cả', 'mọi', 'thứ', 'cuộc sống', 'mỉa_mai', 'chắc', 'mình', 'thấy', 'gái', 'xinh', 'không', 'tớn', 'lên', 'không', 'đòi', 'con người', 'ta', 'không', 'mê', 'tiền', 'phát biểu', 'nghe', 'thực dụng', 'vãi']"
cười ị đùa,Enjoyment,"['cười', 'ị đùa']"
per mang võng ra không lại tủi không thể ngồi,Other,"['per', 'mang', 'võng', 'không', 'tủi', 'không thể', 'ngồi']"
chúc bạn thành công 3,Enjoyment,"['chúc', 'bạn', 'thành công', '3']"
vậy sao chồng tôi vẫn bình thường nhở không thấy béo lên tí nào ta,Surprise,"['sao', 'chồng', 'tôi', 'vẫn', 'bình thường nhở', 'không', 'thấy', 'béo', 'lên', 'tí', 'nào', 'ta']"
tình yêu không bao giờ là mãi mãi . rồi cây cũng chết héo mà thôi khà khà,Enjoyment,"['tình yêu', 'không', 'bao giờ', 'mãi mãi', 'cây', 'cũng', 'chết', 'héo', 'thôi khà', 'khà']"
quan trọng là có per luôn tạo độ khó game cho tôi cười và không thể thiếu sự trợ giúp của các anh em trong team cười_chảy_nước_mắt,Enjoyment,"['quan trọng', 'per', 'luôn', 'tạo độ', 'khó', 'game', 'tôi', 'cười', 'không thể', 'thiếu', 'sự', 'trợ giúp', 'anh em', 'team', 'cười_chảy_nước_mắt']"
phải tự cho mình đau lòng nhất thì mới bỏ được,Sadness,"['phải', 'tự', 'mình', 'đau lòng', 'nhất', 'mới', 'bỏ']"
hiểu lầm chút chút,Other,"['hiểu', 'lầm chút', 'chút']"
kéo nhau ra tòa ly hôn tự nhiên béo ngành thuế,Disgust,"['kéo', 'nhau', 'tòa', 'ly hôn', 'tự nhiên', 'béo', 'ngành', 'thuế']"
mới lạ gắn với thực tiễn hy vọng trường sớm phát triển,Enjoyment,"['mới lạ', 'gắn', 'thực tiễn', 'hy vọng', 'trường', 'sớm', 'phát triển']"
nghe có trà sữa là thích rồi,Enjoyment,"['nghe', 'trà', 'sữa', 'thích']"
chời má . ngọt chết tao rồi cười,Enjoyment,"['chời', 'má', 'ngọt', 'chết', 'tao', 'cười']"
chúc mừng em và chúc em học tập tốt ngành học đã chọn ! niềm tự hào của tây bắc !,Enjoyment,"['chúc mừng', 'em', 'chúc', 'em', 'học tập', 'tốt', 'ngành', 'học', 'chọn', '! niềm', 'tự hào', 'tây bắc', '!']"
kiểu lâu lâu cũng không được nhắn tin cho ai như thế nên cũng muốn tình cảm xíu cười biết đâu,Enjoyment,"['kiểu', 'lâu lâu', 'cũng', 'không', 'nhắn tin', 'ai', 'như thế', 'cũng', 'muốn', 'tình cảm xíu', 'cười', 'biết đâu']"
