Sentence,Emotion,Tokenized_Sentence,tokens_length
không biết crush bây giờ có ở nhà không nữa khóc_nức_nở,Sadness,"['không', 'biết', 'crush', 'bây giờ', 'nhà', 'không', 'khóc_nức_nở']",7
tại do bạn thoại kêu gọi chứ có phải mình chị hòa ăn đâu,Disgust,"['tại', 'do', 'bạn thoại', 'kêu gọi', 'chứ', 'phải', 'mình', 'chị', 'hòa', 'ăn', 'đâu']",11
ai biểu đã vất vả rồi còn hám gái lo làm ăn đi trưởng thành 4050 tuổi giàu rồi thiếu gì gái trẻ theo mà cứ nhất định lúc nghèo vẫn phải có gái yêu mới chịu con gái người ta chắc không có gánh nặng trên vai á chắc gái nghèo ai cũng lấy được hoàng tử á nghèo lấy nghèo đầy ra kia kìa múc nhau tối ngày kìa tắt văn và nhìn vào thực tế đi,Anger,"['ai', 'biểu', 'vất vả', 'còn', 'hám', 'gái', 'lo', 'làm ăn', 'trưởng thành', '4050', 'tuổi', 'giàu', 'thiếu', 'gì', 'gái', 'trẻ', 'theo', 'cứ', 'nhất định', 'lúc', 'nghèo', 'vẫn', 'phải', 'gái', 'yêu', 'mới', 'chịu', 'con', 'gái', 'người', 'ta', 'chắc', 'không', 'gánh', 'nặng', 'trên', 'vai', 'á', 'chắc', 'gái', 'nghèo', 'ai', 'cũng', 'lấy được', 'hoàng tử', 'á', 'nghèo', 'lấy', 'nghèo', 'đầy', 'kìa', 'múc', 'nhau', 'tối ngày', 'kìa', 'tắt văn', 'nhìn', 'vào', 'thực tế']",59
tao cũng phải về mở cho mẹ tao coi cười_chảy_nước_mắt,Enjoyment,"['tao', 'cũng', 'phải', 'về', 'mở', 'mẹ', 'tao', 'coi', 'cười_chảy_nước_mắt']",9
người anh em thiện lành đã rời việt nam . say godbye,Other,"['người', 'anh em', 'thiện lành', 'rời', 'việt nam', 'say', 'godbye']",7
per anh ơi đừng gym nữa . boxing là đụ rùi buồn,Sadness,"['per', 'anh', 'ơi', 'đừng', 'gym', 'boxing', 'đụ', 'rùi', 'buồn']",9
chuẩn bị tinh thần đi cười_lăn_lộn_trên_sàn,Enjoyment,"['chuẩn bị', 'tinh thần', 'cười_lăn_lộn_trên_sàn']",3
chắc tôi khác quá,Other,"['chắc', 'tôi', 'khác']",3
thật hả trời,Surprise,"['hả', 'trời']",2
không phải không thích mà bản thân chưa đủ tốt để sánh vai . phải chi anh có thể đợi em khôn lớn !,Sadness,"['không', 'phải', 'không', 'thích', 'bản thân', 'chưa', 'đủ', 'tốt', 'để', 'sánh vai', 'phải chi', 'anh', 'có thể', 'đợi', 'em', 'khôn lớn', '!']",17
